,Census Tract,Total Population,California County,County,countytrim,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Drinking Water,Pesticides,Tox. Release,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
1007,6013310000,5641,Contra Costa,Contra Costa County,Contra Costa,94565,-121.8917858,38.0264843,0.038,7.85958451,13.984,136.89,0,897.8009392,324.08,52.45,75.55,5.72,12,4.5,150.18,5.64,14.45,31.4,18.9,52.2,12.1,26.8
1008,6037236203,3417,Los Angeles,Los Angeles County,Los Angeles,90016,-118.3467706,34.0184552,0.046,12.05,24.45,664.07,0.01,2282.705148,904.69,5,31.05,0.01,0,0.5,69.53,8.4,6.4,25.6,13.2,67.1,12.7,34.4
1009,6067005502,5477,Sacramento ,Sacramento County,Sacramento,95815,-121.4270027,38.6046274,0.05,9.53630303,17.09,693.44,0,206.9998472,687.38,7.75,29.8,0.1,4,1,90.81,6.61,8.23,24.7,13.4,67.5,22.9,23.5
1010,6037191820,2647,Los Angeles,Los Angeles County,Los Angeles,90038,-118.3277048,34.0852963,0.048,12.47,36.19,664.07,0,2210.020026,1482.79,17.75,23,0.15,0,5,48.93,5.18,7.78,16.1,18.9,46.1,10.4,22.5
1011,6037408140,3835,Los Angeles,Los Angeles County,Los Angeles,91744,-117.9032402,34.0095219,0.051,11.21,25.155,637.25,0,11790.42588,718.02,16.5,32.9,0.255,1,0,50.15,4.42,8,44.3,16,56,17.4,28.3
1012,6019004802,4599,Fresno ,Fresno County,Fresno,93705,-119.8222476,36.78763,0.062,15.4,35.74,681.2,0,2573.378514,419.31,0,2,0,0,0,127.86,6.01,12.6,29.1,10.6,74,23.6,30.4
1013,6037553901,6896,Los Angeles,Los Angeles County,Los Angeles,90723,-118.1514235,33.8928037,0.044,12.05,20.991,304.17,0,9055.357866,501.9,5.7,42.8,0.71,0,5.6,52.24,6.99,9.41,36.8,12.5,43,11.5,26.7
1014,6067002100,2377,Sacramento ,Sacramento County,Sacramento,95818,-121.5063658,38.5693327,0.046,9.53630303,28.03,80.01,0,514.9399299,1687.25,45.85,52.35,0.56,16,2,65.49,4.07,9.01,21.6,20.9,42.1,12.1,33
1015,6037552200,6835,Los Angeles,Los Angeles County,Los Angeles,90650,-118.07318,33.9087246,0.046,12.05,29.497,557.71,0,5255.477939,1220.98,1,28,0.045,0,0.5,62.88,5.61,13.42,35.4,18,49.5,8.1,27.4
1016,6025010400,7162,Imperial ,Imperial County,Imperial,92227,-115.5223739,32.9902904,0.051,7.85958451,7.521,276.08,59.24,31.84738931,374.16,42.1,11,0.2,21,2,140.8,4.69,10.89,33.6,22.1,73.9,29.8,23.8
1017,6019003500,5674,Fresno ,Fresno County,Fresno,93704,-119.7950446,36.7722645,0.062,15.4,51.32,681.2,0,2526.992314,681.1,4,0,0.125,0,0,82.37,6.45,7.99,21.9,4.9,53.4,18.3,30.3
1018,6037535501,3866,Los Angeles,Los Angeles County,Los Angeles,90280,-118.2221109,33.961166,0.044,12.05,24.844,536.88,0,6339.831154,946.46,40.3,13,0.025,0,6.45,40.87,4.15,10.14,53.6,31.8,64.4,15.5,24.1
1019,6037231220,3824,Los Angeles,Los Angeles County,Los Angeles,90037,-118.2893753,34.0145635,0.046,12.89,41.183,664.07,0,3735.935926,1296.95,1.3,0,0.05,0,0,66.9,7.22,7.91,50.1,20.8,67.4,10.2,37.9
1020,6037543802,7126,Los Angeles,Los Angeles County,Los Angeles,90745,-118.2697206,33.8293509,0.042,11.63,23.92,182.06,0,7556.998068,596.63,26.25,32.1,0.26,14,7.8,60.31,8.5,9.96,17.2,15.9,32,6.6,16.2
1021,6037237401,3616,Los Angeles,Los Angeles County,Los Angeles,90044,-118.2948084,33.9784675,0.046,12.05,24.829,664.07,0,4119.863002,873.97,2.55,5,0.01,0,0,115.42,7.28,12.3,31,9.5,57.6,10.1,36.4
1022,6071001702,4827,San Bernardino,San Bernardino County,San Bernardino,91762,-117.6753207,34.0448163,0.06,12.89,29.587,907.05,0.49,5827.48556,621.96,2.75,0,0.01,0,1.25,65.24,6.2,12.15,19.2,3.3,37.2,13.2,23
1023,6037572700,5499,Los Angeles,Los Angeles County,Los Angeles,90810,-118.212716,33.801549,0.042,11.21,31.85,220.01,0,20466.80458,1167.61,1.2,23.05,3.135,22,0.2,69.64,6.15,9.19,21.5,11.7,48.1,12.7,14.6
1024,6037407302,3501,Los Angeles,Los Angeles County,Los Angeles,91744,-117.9608384,34.0395089,0.051,11.63,18.49,811.58,0,55623.18871,815.39,13.2,5.3,0.07,2,0,68.67,5.18,10.73,35.2,16.3,41.3,14.6,17.5
1025,6037121221,2365,Los Angeles,Los Angeles County,Los Angeles,91352,-118.3955564,34.2276073,0.055,12.05,23.292,618.05,0,997.3250306,2354.88,12,1.5,0.27,4,6.1,77.04,2.93,8.41,40.2,14.5,39.7,12.9,24.5
1026,6107000502,3405,Tulare ,Tulare County,Tulare,93618,-119.3924612,36.5293483,0.065,15.82,9.049,675.79,5544.9,526.7907007,243.51,10,25.05,0.05,0,0.25,42.92,6.13,9.57,44,16.1,62,14.2,12.8
